y,x,val
0.0000,0.0000,-17.3634
0.0000,222.2222,-17.1386
0.0000,444.4444,-16.9497
0.0000,666.6667,-16.8884
0.0000,888.8889,-16.4609
0.0000,1111.1111,-16.0485
0.0000,1333.3333,-15.7739
0.0000,1555.5556,-15.2332
0.0000,1777.7778,-14.9971
0.0000,2000.0000,-14.9971
100.0000,0.0000,-13.9908
100.0000,222.2222,-13.5186
100.0000,444.4444,-13.3339
100.0000,666.6667,-13.2869
100.0000,888.8889,-12.7228
100.0000,1111.1111,-12.3071
100.0000,1333.3333,-11.9963
100.0000,1555.5556,-11.2440
100.0000,1777.7778,-10.9316
100.0000,2000.0000,-10.9316
200.0000,0.0000,-12.2637
200.0000,222.2222,-11.7737
200.0000,444.4444,-11.7032
200.0000,666.6667,-11.6732
200.0000,888.8889,-11.1600
200.0000,1111.1111,-10.8459
200.0000,1333.3333,-10.4231
200.0000,1555.5556,-9.6575
200.0000,1777.7778,-9.3742
200.0000,2000.0000,-9.3742
300.0000,0.0000,-9.5417
300.0000,222.2222,-9.1208
300.0000,444.4444,-9.2045
300.0000,666.6667,-9.1485
300.0000,888.8889,-8.7401
300.0000,1111.1111,-8.5567
300.0000,1333.3333,-8.0349
300.0000,1555.5556,-7.3140
300.0000,1777.7778,-7.0951
300.0000,2000.0000,-7.0951
400.0000,0.0000,-3.4620
400.0000,222.2222,-3.1352
400.0000,444.4444,-3.3522
400.0000,666.6667,-3.4055
400.0000,888.8889,-3.0796
400.0000,1111.1111,-2.9945
400.0000,1333.3333,-2.5700
400.0000,1555.5556,-1.8992
400.0000,1777.7778,-1.7390
400.0000,2000.0000,-1.7390
500.0000,0.0000,4.3368
500.0000,222.2222,4.6730
500.0000,444.4444,4.4412
500.0000,666.6667,4.3132
500.0000,888.8889,4.6879
500.0000,1111.1111,4.7959
500.0000,1333.3333,5.1285
500.0000,1555.5556,5.8323
500.0000,1777.7778,6.0251
500.0000,2000.0000,6.0251
600.0000,0.0000,10.5313
600.0000,222.2222,10.8941
600.0000,444.4444,10.6922
600.0000,666.6667,10.6443
600.0000,888.8889,11.1043
600.0000,1111.1111,11.2918
600.0000,1333.3333,11.6763
600.0000,1555.5556,12.4419
600.0000,1777.7778,12.7220
600.0000,2000.0000,12.7220
700.0000,0.0000,13.5263
700.0000,222.2222,13.9323
700.0000,444.4444,13.7771
700.0000,666.6667,13.9305
700.0000,888.8889,14.4877
700.0000,1111.1111,14.7632
700.0000,1333.3333,15.3242
700.0000,1555.5556,16.1736
700.0000,1777.7778,16.5348
700.0000,2000.0000,16.5348
800.0000,0.0000,13.9243
800.0000,222.2222,14.3455
800.0000,444.4444,14.2156
800.0000,666.6667,14.4570
800.0000,888.8889,15.0652
800.0000,1111.1111,15.3912
800.0000,1333.3333,16.0462
800.0000,1555.5556,16.9332
800.0000,1777.7778,17.3284
800.0000,2000.0000,17.3284
900.0000,0.0000,13.4319
900.0000,222.2222,13.8500
900.0000,444.4444,13.7335
900.0000,666.6667,14.0271
900.0000,888.8889,14.6621
900.0000,1111.1111,15.0169
900.0000,1333.3333,15.7200
900.0000,1555.5556,16.6124
900.0000,1777.7778,17.0105
900.0000,2000.0000,17.0105
1000.0000,0.0000,12.5744
1000.0000,222.2222,13.0094
1000.0000,444.4444,12.9264
1000.0000,666.6667,13.2409
1000.0000,888.8889,13.9249
1000.0000,1111.1111,14.3235
1000.0000,1333.3333,15.0335
1000.0000,1555.5556,15.9423
1000.0000,1777.7778,16.3418
1000.0000,2000.0000,16.3418
1100.0000,0.0000,11.3162
1100.0000,222.2222,11.7520
1100.0000,444.4444,11.6955
1100.0000,666.6667,12.0515
1100.0000,888.8889,12.7675
1100.0000,1111.1111,13.1910
1100.0000,1333.3333,13.9230
1100.0000,1555.5556,14.8182
1100.0000,1777.7778,15.1744
1100.0000,2000.0000,15.1744
1200.0000,0.0000,9.6881
1200.0000,222.2222,10.1163
1200.0000,444.4444,10.0893
1200.0000,666.6667,10.4876
1200.0000,888.8889,11.2299
1200.0000,1111.1111,11.6627
1200.0000,1333.3333,12.3902
1200.0000,1555.5556,13.2565
1200.0000,1777.7778,13.5200
1200.0000,2000.0000,13.5200
1300.0000,0.0000,7.8304
1300.0000,222.2222,8.2522
1300.0000,444.4444,8.2497
1300.0000,666.6667,8.6708
1300.0000,888.8889,9.4223
1300.0000,1111.1111,9.8322
1300.0000,1333.3333,10.4878
1300.0000,1555.5556,11.2384
1300.0000,1777.7778,11.3956
1300.0000,2000.0000,11.3956
1400.0000,0.0000,5.8450
1400.0000,222.2222,6.2587
1400.0000,444.4444,6.2826
1400.0000,666.6667,6.7375
1400.0000,888.8889,7.4775
1400.0000,1111.1111,7.8288
1400.0000,1333.3333,8.3722
1400.0000,1555.5556,8.9380
1400.0000,1777.7778,8.9873
1400.0000,2000.0000,8.9873
1500.0000,0.0000,3.7634
1500.0000,222.2222,4.1590
1500.0000,444.4444,4.2342
1500.0000,666.6667,4.7184
1500.0000,888.8889,5.4339
1500.0000,1111.1111,5.7068
1500.0000,1333.3333,6.0930
1500.0000,1555.5556,6.3859
1500.0000,1777.7778,6.3190
1500.0000,2000.0000,6.3190
1600.0000,0.0000,1.6107
1600.0000,222.2222,1.9375
1600.0000,444.4444,2.1150
1600.0000,666.6667,2.6189
1600.0000,888.8889,3.2793
1600.0000,1111.1111,3.4409
1600.0000,1333.3333,3.6441
1600.0000,1555.5556,3.5239
1600.0000,1777.7778,3.3687
1600.0000,2000.0000,3.3687
1700.0000,0.0000,-0.4372
1700.0000,222.2222,-0.3119
1700.0000,444.4444,0.0539
1700.0000,666.6667,0.5308
1700.0000,888.8889,1.0665
1700.0000,1111.1111,1.0182
1700.0000,1333.3333,0.8965
1700.0000,1555.5556,0.3401
1700.0000,1777.7778,0.2619
1700.0000,2000.0000,0.2619
1800.0000,0.0000,-2.0551
1800.0000,222.2222,-2.2030
1800.0000,444.4444,-1.8179
1800.0000,666.6667,-1.3955
1800.0000,888.8889,-1.0093
1800.0000,1111.1111,-1.2937
1800.0000,1333.3333,-1.7173
1800.0000,1555.5556,-2.5284
1800.0000,1777.7778,-2.5642
1800.0000,2000.0000,-2.5642
1900.0000,0.0000,-3.3580
1900.0000,222.2222,-3.6725
1900.0000,444.4444,-3.3913
1900.0000,666.6667,-3.0811
1900.0000,888.8889,-2.8606
1900.0000,1111.1111,-3.3813
1900.0000,1333.3333,-4.0909
1900.0000,1555.5556,-5.0830
1900.0000,1777.7778,-5.1305
1900.0000,2000.0000,-5.1305
2000.0000,0.0000,-4.5116
2000.0000,222.2222,-4.9439
2000.0000,444.4444,-4.8113
2000.0000,666.6667,-4.6428
2000.0000,888.8889,-4.5699
2000.0000,1111.1111,-5.2963
2000.0000,1333.3333,-6.3322
2000.0000,1555.5556,-7.4451
2000.0000,1777.7778,-7.4833
2000.0000,2000.0000,-7.4833
2100.0000,0.0000,-5.4760
2100.0000,222.2222,-5.9954
2100.0000,444.4444,-6.0493
2100.0000,666.6667,-5.9723
2100.0000,888.8889,-6.0290
2100.0000,1111.1111,-6.9383
2100.0000,1333.3333,-8.3358
2100.0000,1555.5556,-9.5143
2100.0000,1777.7778,-9.5434
2100.0000,2000.0000,-9.5434
2200.0000,0.0000,-5.2266
2200.0000,222.2222,-5.8768
2200.0000,444.4444,-6.3326
2200.0000,666.6667,-6.2517
2200.0000,888.8889,-6.5253
2200.0000,1111.1111,-7.7188
2200.0000,1333.3333,-9.4108
2200.0000,1555.5556,-10.5798
2200.0000,1777.7778,-10.6221
2200.0000,2000.0000,-10.6221
2300.0000,0.0000,-4.5720
2300.0000,222.2222,-5.2422
2300.0000,444.4444,-6.1369
2300.0000,666.6667,-6.2353
2300.0000,888.8889,-6.6951
2300.0000,1111.1111,-8.1023
2300.0000,1333.3333,-9.9825
2300.0000,1555.5556,-11.1375
2300.0000,1777.7778,-11.1605
2300.0000,2000.0000,-11.1605
2400.0000,0.0000,-3.7237
2400.0000,222.2222,-4.4462
2400.0000,444.4444,-5.6153
2400.0000,666.6667,-5.9501
2400.0000,888.8889,-6.6173
2400.0000,1111.1111,-8.1957
2400.0000,1333.3333,-10.1048
2400.0000,1555.5556,-11.2415
2400.0000,1777.7778,-11.2455
2400.0000,2000.0000,-11.2455
2500.0000,0.0000,-3.0821
2500.0000,222.2222,-3.8006
2500.0000,444.4444,-5.0518
2500.0000,666.6667,-5.7169
2500.0000,888.8889,-6.5351
2500.0000,1111.1111,-8.2288
2500.0000,1333.3333,-10.0303
2500.0000,1555.5556,-11.0911
2500.0000,1777.7778,-11.0422
2500.0000,2000.0000,-11.0422
2600.0000,0.0000,-2.0600
2600.0000,222.2222,-2.7196
2600.0000,444.4444,-3.7945
2600.0000,666.6667,-5.0451
2600.0000,888.8889,-5.8641
2600.0000,1111.1111,-7.6875
2600.0000,1333.3333,-9.2812
2600.0000,1555.5556,-10.2315
2600.0000,1777.7778,-10.1265
2600.0000,2000.0000,-10.1265
2700.0000,0.0000,-0.5706
2700.0000,222.2222,-1.2318
2700.0000,444.4444,-1.9407
2700.0000,666.6667,-3.6206
2700.0000,888.8889,-4.5310
2700.0000,1111.1111,-6.3569
2700.0000,1333.3333,-7.6382
2700.0000,1555.5556,-8.5710
2700.0000,1777.7778,-8.4506
2700.0000,2000.0000,-8.4506
2800.0000,0.0000,0.6753
2800.0000,222.2222,0.0839
2800.0000,444.4444,-0.3906
2800.0000,666.6667,-2.1797
2800.0000,888.8889,-3.1461
2800.0000,1111.1111,-4.8465
2800.0000,1333.3333,-5.8546
2800.0000,1555.5556,-6.6928
2800.0000,1777.7778,-6.5116
2800.0000,2000.0000,-6.5116
2900.0000,0.0000,2.0773
2900.0000,222.2222,1.5546
2900.0000,444.4444,1.2638
2900.0000,666.6667,-0.4447
2900.0000,888.8889,-1.4877
2900.0000,1111.1111,-2.9891
2900.0000,1333.3333,-3.6674
2900.0000,1555.5556,-4.3556
2900.0000,1777.7778,-4.1745
2900.0000,2000.0000,-4.1745
3000.0000,0.0000,3.5501
3000.0000,222.2222,3.0913
3000.0000,444.4444,3.0838
3000.0000,666.6667,1.5114
3000.0000,888.8889,0.2204
3000.0000,1111.1111,-0.8968
3000.0000,1333.3333,-1.1985
3000.0000,1555.5556,-1.6801
3000.0000,1777.7778,-1.5615
3000.0000,2000.0000,-1.5615
3100.0000,0.0000,4.9299
3100.0000,222.2222,4.4193
3100.0000,444.4444,4.8376
3100.0000,666.6667,3.6632
3100.0000,888.8889,1.6241
3100.0000,1111.1111,1.2407
3100.0000,1333.3333,1.4466
3100.0000,1555.5556,1.1764
3100.0000,1777.7778,1.0881
3100.0000,2000.0000,1.0881
3200.0000,0.0000,5.9648
3200.0000,222.2222,5.2898
3200.0000,444.4444,5.9452
3200.0000,666.6667,5.3553
3200.0000,888.8889,2.7888
3200.0000,1111.1111,3.1281
3200.0000,1333.3333,3.7742
3200.0000,1555.5556,3.5823
3200.0000,1777.7778,3.2971
3200.0000,2000.0000,3.2971
3300.0000,0.0000,6.6244
3300.0000,222.2222,5.8999
3300.0000,444.4444,6.7304
3300.0000,666.6667,6.4924
3300.0000,888.8889,3.9425
3300.0000,1111.1111,4.7466
3300.0000,1333.3333,5.7380
3300.0000,1555.5556,5.6168
3300.0000,1777.7778,5.2372
3300.0000,2000.0000,5.2372
3400.0000,0.0000,6.5306
3400.0000,222.2222,5.8142
3400.0000,444.4444,6.7890
3400.0000,666.6667,6.8922
3400.0000,888.8889,4.6025
3400.0000,1111.1111,5.7838
3400.0000,1333.3333,7.1512
3400.0000,1555.5556,7.0831
3400.0000,1777.7778,6.6529
3400.0000,2000.0000,6.6529
3500.0000,0.0000,6.0258
3500.0000,222.2222,5.2915
3500.0000,444.4444,6.3071
3500.0000,666.6667,6.8452
3500.0000,888.8889,4.8801
3500.0000,1111.1111,6.3135
3500.0000,1333.3333,8.2209
3500.0000,1555.5556,8.0401
3500.0000,1777.7778,7.4924
3500.0000,2000.0000,7.4924
3600.0000,0.0000,5.2019
3600.0000,222.2222,4.4479
3600.0000,444.4444,5.3943
3600.0000,666.6667,6.3932
3600.0000,888.8889,4.8336
3600.0000,1111.1111,6.3489
3600.0000,1333.3333,8.9766
3600.0000,1555.5556,8.3617
3600.0000,1777.7778,7.7355
3600.0000,2000.0000,7.7355
3700.0000,0.0000,4.1683
3700.0000,222.2222,3.4456
3700.0000,444.4444,4.1855
3700.0000,666.6667,5.4330
3700.0000,888.8889,4.5322
3700.0000,1111.1111,6.0531
3700.0000,1333.3333,8.8022
3700.0000,1555.5556,7.7476
3700.0000,1777.7778,7.2779
3700.0000,2000.0000,7.2779
3800.0000,0.0000,2.6116
3800.0000,222.2222,1.8759
3800.0000,444.4444,2.5501
