y,0,1,2,3,4,5,6,7,8
50.0,1513.214,1513.3581,1513.1251,1512.9002,1512.8116,1512.9408,1513.2871,1513.628,1513.5736
150.0,1512.3271,1512.4651,1512.2122,1512.0142,1511.9334,1512.0569,1512.4276,1512.8161,1512.7928
250.0,1509.7904,1509.9812,1509.9053,1509.8656,1509.8588,1509.9653,1510.2532,1510.5299,1510.4874
350.0,1506.2542,1506.5385,1506.7269,1506.9056,1507.0032,1507.0896,1507.2499,1507.3454,1507.2514
450.0,1502.6097,1502.9517,1503.3398,1503.6909,1503.8778,1503.9569,1504.0254,1503.9918,1503.8736
550.0,1499.6149,1499.8923,1500.3005,1500.7048,1500.9345,1501.0295,1501.0967,1501.0789,1501.0359
650.0,1497.411,1497.5656,1497.8684,1498.228,1498.4574,1498.5843,1498.7191,1498.8152,1498.8925
750.0,1495.8017,1495.8766,1496.0667,1496.3519,1496.5608,1496.7198,1496.9346,1497.1415,1497.2965
850.0,1494.7063,1494.7394,1494.847,1495.0662,1495.2516,1495.4347,1495.713,1495.9976,1496.193
950.0,1494.0709,1494.0878,1494.1453,1494.3183,1494.4849,1494.6834,1495.0031,1495.3324,1495.5423
1050.0,1493.8443,1493.8628,1493.8955,1494.0411,1494.1956,1494.4029,1494.7456,1495.0952,1495.3009
1150.0,1493.9716,1494.0056,1494.0308,1494.1634,1494.3118,1494.5238,1494.8771,1495.2304,1495.4158
1250.0,1494.3922,1494.4547,1494.4835,1494.614,1494.7613,1494.9749,1495.3292,1495.6754,1495.8233
1350.0,1495.0424,1495.1358,1495.184,1495.3242,1495.475,1495.6861,1496.028,1496.346,1496.4516
1450.0,1495.8873,1496.0072,1496.0803,1496.2365,1496.3933,1496.5991,1496.9206,1497.2002,1497.2637
1550.0,1496.8846,1497.0269,1497.127,1497.3006,1497.4626,1497.6605,1497.9577,1498.1891,1498.2039
1650.0,1497.9933,1498.1515,1498.2817,1498.4695,1498.6306,1498.8143,1499.0826,1499.2511,1499.2063
1750.0,1499.1791,1499.3386,1499.5057,1499.6987,1499.8465,1499.9977,1500.2105,1500.2985,1500.2072
1850.0,1500.4193,1500.5683,1500.7524,1500.9461,1501.0738,1501.1819,1501.3297,1501.3441,1501.2122
1950.0,1501.6682,1501.816,1501.998,1502.1853,1502.2886,1502.3502,1502.4308,1502.3758,1502.2067
2050.0,1502.8926,1503.0454,1503.2104,1503.3909,1503.4694,1503.4856,1503.4967,1503.3699,1503.167
2150.0,1504.0597,1504.2276,1504.3528,1504.5355,1504.5886,1504.5631,1504.5015,1504.2962,1504.0689
2250.0,1505.1353,1505.3247,1505.4112,1505.5827,1505.6079,1505.5326,1505.3964,1505.1328,1504.9001
2350.0,1506.1197,1506.3149,1506.3797,1506.5296,1506.5245,1506.4028,1506.2092,1505.9044,1505.6633
2450.0,1507.0091,1507.2034,1507.2532,1507.3762,1507.3443,1507.1842,1506.9471,1506.6132,1506.3628
2550.0,1507.8029,1507.9944,1508.0346,1508.1209,1508.0736,1507.8825,1507.6091,1507.2581,1506.9984
2650.0,1508.5021,1508.6894,1508.7342,1508.7578,1508.7162,1508.4974,1508.189,1507.8375,1507.5677
2750.0,1509.1102,1509.2878,1509.3503,1509.3106,1509.254,1509.0125,1508.6876,1508.3454,1508.0666
2850.0,1509.6328,1509.8033,1509.8639,1509.788,1509.7084,1509.4531,1509.1247,1508.7885,1508.5086
2950.0,1510.0783,1510.2396,1510.2918,1510.1935,1510.0897,1509.8312,1509.5109,1509.1813,1508.9016
3050.0,1510.4589,1510.6056,1510.6511,1510.5389,1510.3998,1510.1523,1509.8546,1509.532,1509.2486
3150.0,1510.7919,1510.9131,1510.9573,1510.8444,1510.6363,1510.4202,1510.1607,1509.8395,1509.5441
3250.0,1511.0981,1511.1937,1511.2189,1511.1143,1510.8349,1510.6383,1510.4135,1510.0802,1509.7768
3350.0,1511.353,1511.4339,1511.4393,1511.323,1511.0083,1510.8156,1510.6084,1510.2716,1509.9652
3450.0,1511.5454,1511.6181,1511.6046,1511.4719,1511.1409,1510.9492,1510.757,1510.4212,1510.1157
3550.0,1511.6659,1511.7354,1511.702,1511.5548,1511.2199,1511.0305,1510.8661,1510.5296,1510.2296
3650.0,1511.7036,1511.7766,1511.7176,1511.5603,1511.2394,1511.0463,1510.9371,1510.5884,1510.3068
3750.0,1511.6433,1511.7241,1511.6382,1511.4702,1511.2069,1511.0081,1510.9221,1510.5934,1510.3536
3850.0,1511.4837,1511.5694,1511.4717,1511.3075,1511.0931,1510.9156,1510.8478,1510.5625,1510.3678
3950.0,1511.218,1511.315,1511.2124,1511.0563,1510.9061,1510.7726,1510.7123,1510.4995,1510.3689
4050.0,1510.8323,1510.9534,1510.8471,1510.6943,1510.6506,1510.5915,1510.5044,1510.4185,1510.3891
4150.0,1510.3081,1510.4335,1510.3494,1510.2367,1510.3042,1510.3444,1510.2706,1510.3652,1510.4627
4250.0,1509.7069,1509.8252,1509.7747,1509.7289,1509.8986,1510.0415,1510.0572,1510.3181,1510.5358
4350.0,1509.0794,1509.1733,1509.1655,1509.203,1509.4682,1509.7105,1509.8392,1510.262,1510.618
4450.0,1508.4697,1508.5044,1508.5561,1508.6942,1509.045,1509.3767,1509.6166,1510.1939,1510.7334
4550.0,1507.9028,1507.8684,1507.9872,1508.2351,1508.6428,1509.0666,1509.4863,1510.1954,1510.8501
4650.0,1507.4233,1507.3632,1507.5257,1507.851,1508.3246,1508.8413,1509.3956,1510.2057,1510.9168
4750.0,1507.0727,1507.0116,1507.2041,1507.58,1508.109,1508.6978,1509.3346,1510.1922,1510.9105
4850.0,1506.8703,1506.8262,1507.0377,1507.4393,1507.9982,1508.6284,1509.3047,1510.1464,1510.8112
4950.0,1506.8154,1506.8168,1507.0314,1507.4323,1507.9853,1508.6236,1509.3146,1510.0716,1510.5896
