y,0,1,2,3,4,5,6,7,8
50.0,-27.7466,-27.7957,-27.7393,-27.8959,-27.8081,-27.6799,-27.8185,-27.7506,-27.691
150.0,-24.1674,-24.1022,-23.979,-24.1312,-23.9557,-23.7703,-23.9042,-23.749,-23.6376
250.0,-22.0683,-22.076,-22.003,-22.1538,-22.0642,-21.9404,-21.9953,-21.932,-21.8891
350.0,-18.806,-18.94,-18.9649,-19.0763,-19.1207,-19.1025,-19.0901,-19.1546,-19.2149
450.0,-12.0353,-12.2675,-12.3962,-12.6148,-12.7584,-12.8423,-12.9563,-13.1146,-13.2683
550.0,-3.4131,-3.6091,-3.7288,-4.0353,-4.147,-4.2256,-4.4595,-4.5942,-4.7491
650.0,3.7186,3.5822,3.5109,3.2659,3.2199,3.1981,2.9916,2.921,2.8261
750.0,7.7447,7.6725,7.6555,7.5968,7.6272,7.6696,7.6207,7.6292,7.6004
850.0,9.2423,9.1974,9.2039,9.2167,9.2758,9.3444,9.3721,9.4123,9.4107
950.0,9.898,9.8566,9.8671,9.9112,9.9719,10.044,10.1038,10.1468,10.1503
1050.0,10.2202,10.2006,10.2295,10.2684,10.3498,10.4403,10.494,10.5585,10.5813
1150.0,10.1576,10.1466,10.1821,10.2326,10.3178,10.4118,10.482,10.5504,10.5779
1250.0,9.722,9.7196,9.7599,9.8221,9.9123,10.0095,10.0909,10.1669,10.2019
1350.0,9.0311,9.0365,9.0836,9.1447,9.2383,9.3381,9.4211,9.5019,9.5442
1450.0,8.2,8.206,8.252,8.3227,8.4118,8.5062,8.598,8.6771,8.7206
1550.0,7.2465,7.2532,7.2983,7.3685,7.4525,7.5414,7.63,7.7064,7.7507
1650.0,6.1481,6.1539,6.1978,6.2635,6.3422,6.4245,6.5044,6.5762,6.6212
1750.0,4.9675,4.9702,5.0117,5.0707,5.1403,5.2144,5.2857,5.3495,5.3931
1850.0,3.8309,3.8321,3.8706,3.9225,3.9834,4.0476,4.1085,4.1631,4.2028
1950.0,2.7597,2.7557,2.7866,2.822,2.8712,2.9209,2.9602,3.0024,3.0338
2050.0,1.5947,1.5848,1.6127,1.6115,1.6601,1.7141,1.7127,1.7653,1.818
2150.0,0.3551,0.3646,0.4168,0.394,0.4466,0.5055,0.5028,0.5506,0.6015
2250.0,0.0326,0.0074,0.0156,-0.0041,0.0083,0.019,0.0031,0.0093,0.0197
2350.0,-0.1883,-0.2216,-0.2361,-0.2916,-0.2933,-0.3106,-0.3773,-0.3916,-0.406
2450.0,-0.4456,-0.4986,-0.5356,-0.5704,-0.5946,-0.6407,-0.7005,-0.7442,-0.7845
2550.0,-1.071,-1.12,-1.1436,-1.1458,-1.1701,-1.2087,-1.2306,-1.2812,-1.318
2650.0,-1.3957,-1.43,-1.4338,-1.4593,-1.4707,-1.496,-1.5402,-1.5845,-1.6108
2750.0,-1.2448,-1.2863,-1.3066,-1.3619,-1.3806,-1.4247,-1.5098,-1.5626,-1.6059
2850.0,-1.3125,-1.3599,-1.3786,-1.4417,-1.4677,-1.5126,-1.6056,-1.6715,-1.7196
2950.0,-1.1222,-1.1992,-1.248,-1.281,-1.3359,-1.4105,-1.4835,-1.5796,-1.6596
3050.0,-0.655,-0.7536,-0.8268,-0.8839,-0.9593,-1.0595,-1.1609,-1.2817,-1.391
3150.0,0.0043,-0.1318,-0.2462,-0.2731,-0.3896,-0.534,-0.6075,-0.7732,-0.9319
3250.0,0.5871,0.4243,0.2941,0.276,0.133,-0.0246,-0.094,-0.2867,-0.4678
3350.0,1.1944,1.027,0.8967,0.8686,0.7197,0.5652,0.4793,0.2807,0.0955
3450.0,1.4597,1.3056,1.1911,1.2017,1.0704,0.9411,0.8906,0.7121,0.5444
3550.0,1.7054,1.55,1.4149,1.5178,1.3846,1.2383,1.2884,1.1072,0.9188
3650.0,1.9651,1.8318,1.719,1.8375,1.7225,1.5976,1.6801,1.5121,1.3327
3750.0,2.2695,2.1643,2.0763,2.1786,2.0908,1.9927,2.058,1.9185,1.7548
3850.0,2.2967,2.2102,2.1481,2.2567,2.1865,2.1131,2.1971,2.0751,1.9265
3950.0,2.217,2.1556,2.1156,2.2267,2.1834,2.1396,2.2283,2.1363,2.0136
4050.0,2.0323,1.9957,1.9734,2.0903,2.072,2.0522,2.1514,2.0888,1.9868
4150.0,1.6089,1.5962,1.5968,1.7142,1.7209,1.7301,1.8384,1.8059,1.7301
4250.0,1.0109,1.0154,1.0347,1.1485,1.1751,1.2092,1.3172,1.31,1.2585
4350.0,0.2489,0.2621,0.2871,0.409,0.4426,0.4854,0.6099,0.6131,0.5694
4450.0,-0.7572,-0.7262,-0.6869,-0.5925,-0.5396,-0.4774,-0.3789,-0.3532,-0.3779
4550.0,-1.915,-1.8793,-1.8372,-1.7433,-1.6852,-1.6186,-1.5221,-1.4919,-1.5113
4650.0,-3.2337,-3.1918,-3.1453,-3.0607,-2.9966,-2.9252,-2.8404,-2.804,-2.8175
4750.0,-4.6927,-4.6512,-4.6055,-4.5222,-4.4603,-4.3922,-4.3097,-4.2767,-4.2932
4850.0,-6.3119,-6.2664,-6.2137,-6.145,-6.0757,-6.0747,-5.9386,-5.9094,-5.9227
4950.0,-8.1174,-8.0898,-8.0536,-7.9621,-7.9126,-7.8669,-7.7692,-7.7628,-7.7076
