y,0,1,2,3,4,5,6,7,8
50.0,-26.9164,-26.9655,-26.9497,-27.1117,-27.1115,-27.1048,-27.304,-27.2942,-27.2414
150.0,-23.3476,-23.277,-23.2134,-23.3395,-23.2648,-23.2275,-23.4079,-23.3215,-23.2035
250.0,-21.2815,-21.2841,-21.2762,-21.3908,-21.4067,-21.4414,-21.5388,-21.5457,-21.4905
350.0,-18.0707,-18.2011,-18.2928,-18.3653,-18.5169,-18.6603,-18.6884,-18.8221,-18.8673
450.0,-11.3659,-11.5959,-11.7923,-11.9716,-12.2229,-12.4689,-12.6217,-12.8471,-12.9837
550.0,-2.8198,-3.0147,-3.2028,-3.4704,-3.6897,-3.9299,-4.2007,-4.4003,-4.5364
650.0,4.2288,4.0926,3.9524,3.7461,3.5928,3.4104,3.1689,3.0355,2.9611
750.0,8.167,8.0946,8.0086,7.9886,7.9122,7.7951,7.7129,7.6613,7.6542
850.0,9.574,9.5288,9.4665,9.5186,9.4717,9.3817,9.3774,9.3601,9.382
950.0,10.1369,10.0959,10.0386,10.1233,10.0795,9.9945,10.0239,10.0117,10.0408
1050.0,10.364,10.3468,10.3099,10.3916,10.3717,10.3074,10.3331,10.3451,10.3963
1150.0,10.2021,10.198,10.1711,10.268,10.2568,10.2006,10.2469,10.2664,10.3269
1250.0,9.6589,9.6727,9.6557,9.7708,9.7727,9.7276,9.7919,9.8247,9.9003
1350.0,8.8468,8.8781,8.8802,9.0071,9.0254,8.9959,9.0738,9.1222,9.2136
1450.0,7.8893,7.9292,7.9463,8.1006,8.1321,8.1143,8.2172,8.2779,8.3774
1550.0,6.8076,6.8553,6.8913,7.0664,7.1133,7.1099,7.2286,7.3033,7.41
1650.0,5.5815,5.6335,5.6946,5.8886,5.9516,5.9623,6.093,6.1846,6.2967
1750.0,4.2783,4.3246,4.4207,4.6311,4.7068,4.7303,4.8729,4.9855,5.0954
1850.0,3.0347,3.0692,3.1904,3.422,3.5155,3.554,3.7097,3.8353,3.9347
1950.0,1.8688,1.8949,2.026,2.2683,2.3784,2.4285,2.5842,2.7115,2.8007
2050.0,0.6246,0.6434,0.7824,1.0152,1.1535,1.2338,1.368,1.5141,1.623
2150.0,-0.6736,-0.6404,-0.4751,-0.2327,-0.0621,0.0484,0.2023,0.3426,0.4432
2250.0,-1.0266,-1.0377,-0.9336,-0.6471,-0.4936,-0.411,-0.2428,-0.1604,-0.1128
2350.0,-1.2424,-1.2654,-1.2194,-0.9484,-0.7836,-0.7072,-0.5784,-0.5486,-0.5334
2450.0,-1.4716,-1.5216,-1.5237,-1.232,-1.0675,-1.0008,-0.8694,-0.896,-0.9158
2550.0,-2.0499,-2.1026,-2.1166,-1.8102,-1.6184,-1.5216,-1.3704,-1.4336,-1.4575
2650.0,-2.3108,-2.3491,-2.3708,-2.1343,-1.887,-1.7443,-1.6554,-1.7475,-1.7601
2750.0,-2.0862,-2.1248,-2.1707,-2.0238,-1.7636,-1.6226,-1.6229,-1.7378,-1.7575
2850.0,-2.0705,-2.1121,-2.1658,-2.0608,-1.8116,-1.6732,-1.7084,-1.846,-1.8673
2950.0,-1.7914,-1.8622,-1.9536,-1.8416,-1.6343,-1.534,-1.566,-1.7368,-1.7896
3050.0,-1.2334,-1.325,-1.4422,-1.3776,-1.2088,-1.1405,-1.2197,-1.4096,-1.4885
3150.0,-0.4838,-0.6119,-0.7563,-0.6917,-0.5922,-0.569,-0.6506,-0.859,-0.9816
3250.0,0.1889,0.0311,-0.1029,-0.0299,-0.0232,-0.0527,-0.1239,-0.3125,-0.4557
3350.0,0.8882,0.7282,0.6084,0.6653,0.6154,0.5512,0.4726,0.3114,0.1735
3450.0,1.2465,1.1027,1.0073,1.098,1.0194,0.9409,0.9125,0.7995,0.6903
3550.0,1.5849,1.4397,1.3332,1.527,1.3858,1.2297,1.3403,1.2561,1.1353
3650.0,1.9396,1.8094,1.7324,1.9891,1.7748,1.5334,1.7682,1.7294,1.6197
3750.0,2.3504,2.241,2.1826,2.4479,2.1897,1.8906,2.1813,2.1933,2.1015
3850.0,2.4886,2.3933,2.3539,2.6119,2.324,2.0085,2.3399,2.3939,2.3244
3950.0,2.5234,2.4494,2.4288,2.647,2.3514,2.0506,2.3746,2.4908,2.4549
4050.0,2.4592,2.4031,2.4089,2.5504,2.2607,2.0038,2.2775,2.4748,2.4597
4150.0,2.1725,2.1414,2.1434,2.1651,1.9317,1.7791,1.9573,2.1861,2.2046
4250.0,1.7164,1.6977,1.6686,1.6066,1.4136,1.3289,1.4497,1.6721,1.7172
4350.0,1.0932,1.0857,0.9956,0.8639,0.7074,0.675,0.7653,0.9393,1.003
4450.0,0.2127,0.2528,0.0866,-0.1788,-0.2501,-0.1895,-0.1876,-0.0957,0.0279
4550.0,-0.8389,-0.7851,-1.0297,-1.3422,-1.3555,-1.2468,-1.2694,-1.2845,-1.1436
4650.0,-2.0846,-2.0291,-2.3063,-2.6434,-2.6259,-2.4939,-2.5451,-2.6124,-2.476
4750.0,-3.5066,-3.4573,-3.7409,-4.0734,-4.0511,-3.9225,-3.9853,-4.0811,-3.964
4850.0,-5.1222,-5.0804,-5.3362,-5.6507,-5.6304,-5.5888,-5.5937,-5.6935,-5.599
4950.0,-6.9492,-6.9633,-7.1828,-7.3949,-7.4328,-7.399,-7.4118,-7.5009,-7.397
