y,0,1,2,3,4,5,6,7,8
50.0,1490.477,1490.4875,1490.5163,1490.5599,1490.6046,1490.6499,1490.6977,1490.7361,1490.7543
150.0,1490.4725,1490.4824,1490.5126,1490.5605,1490.6061,1490.6515,1490.7034,1490.7457,1490.7656
250.0,1490.4723,1490.482,1490.5135,1490.5639,1490.6109,1490.6578,1490.7127,1490.758,1490.7796
350.0,1490.4776,1490.4872,1490.5195,1490.5717,1490.6205,1490.6692,1490.7267,1490.7746,1490.798
450.0,1490.4901,1490.4993,1490.5323,1490.5859,1490.6365,1490.6875,1490.7475,1490.7977,1490.8228
550.0,1490.5118,1490.5205,1490.554,1490.609,1490.6616,1490.7149,1490.7775,1490.8302,1490.8573
650.0,1490.5457,1490.5536,1490.5876,1490.6441,1490.6989,1490.7549,1490.8203,1490.8757,1490.905
750.0,1490.595,1490.602,1490.6366,1490.6949,1490.7524,1490.8115,1490.88,1490.9384,1490.9703
850.0,1490.6639,1490.67,1490.7054,1490.7659,1490.8265,1490.8893,1490.9617,1491.0236,1491.0583
950.0,1490.7569,1490.7621,1490.7987,1490.862,1490.9266,1490.994,1491.0709,1491.1368,1491.1747
1050.0,1490.8794,1490.8837,1490.922,1490.9891,1491.0588,1491.1317,1491.2139,1491.2845,1491.326
1150.0,1491.0371,1491.0409,1491.0817,1491.1537,1491.2296,1491.3092,1491.3979,1491.4738,1491.5189
1250.0,1491.2366,1491.2402,1491.2847,1491.363,1491.4467,1491.5343,1491.6303,1491.7122,1491.7607
1350.0,1491.485,1491.4889,1491.5387,1491.6253,1491.7184,1491.8152,1491.919,1492.0067,1492.059
1450.0,1491.791,1491.796,1491.8531,1491.9501,1492.0544,1492.1615,1492.2737,1492.3675,1492.4239
1550.0,1492.1642,1492.1717,1492.2385,1492.348,1492.465,1492.5835,1492.7046,1492.8041,1492.8647
1650.0,1492.616,1492.6283,1492.7072,1492.8306,1492.9613,1493.0915,1493.2214,1493.3257,1493.3897
1750.0,1493.1621,1493.1796,1493.272,1493.4096,1493.5536,1493.6951,1493.8331,1493.9399,1494.0066
1850.0,1493.8195,1493.8402,1493.9447,1494.0956,1494.2515,1494.4019,1494.5449,1494.6525,1494.7223
1950.0,1494.5999,1494.6234,1494.7371,1494.8987,1495.0639,1495.2204,1495.3658,1495.4735,1495.5447
2050.0,1495.5099,1495.536,1495.6566,1495.8263,1495.9979,1496.1574,1496.302,1496.4078,1496.4785
2150.0,1496.5515,1496.5805,1496.7062,1496.8818,1497.0568,1497.216,1497.3556,1497.4567,1497.5253
2250.0,1497.7232,1497.7555,1497.8844,1498.0639,1498.2393,1498.3953,1498.5243,1498.6179,1498.6836
2350.0,1499.02,1499.0557,1499.1862,1499.3667,1499.5385,1499.6856,1499.8011,1499.8876,1499.95
