y,0,1,2,3,4,5,6,7,8
50.0,1493.5481,1493.6109,1493.6165,1493.7223,1493.8156,1493.9089,1494.0225,1494.0498,1494.0306
150.0,1493.4836,1493.574,1493.539,1493.6735,1493.7665,1493.8578,1494.0022,1494.0201,1493.9881
250.0,1493.3406,1493.438,1493.3907,1493.5349,1493.6317,1493.7272,1493.8857,1493.9032,1493.8678
350.0,1493.1181,1493.2158,1493.1654,1493.3137,1493.4151,1493.5163,1493.6831,1493.704,1493.6699
450.0,1492.8206,1492.9166,1492.8657,1493.0168,1493.1229,1493.2302,1493.4039,1493.43,1493.3999
550.0,1492.4562,1492.5495,1492.4987,1492.6527,1492.7639,1492.8777,1493.0584,1493.0911,1493.0666
650.0,1492.0351,1492.1252,1492.0748,1492.2322,1492.3492,1492.4704,1492.6591,1492.6996,1492.6822
750.0,1491.5701,1491.6564,1491.6068,1491.7685,1491.8926,1492.0226,1492.2207,1492.2705,1492.2614
850.0,1491.0759,1491.158,1491.1098,1491.2772,1491.4102,1491.5509,1491.7603,1491.821,1491.8215
950.0,1490.5694,1490.6471,1490.6014,1490.7763,1490.9206,1491.0745,1491.2973,1491.3707,1491.3819
1050.0,1490.07,1490.143,1490.1012,1490.2862,1490.4446,1490.6146,1490.8534,1490.9414,1490.9644
1150.0,1489.5993,1489.6673,1489.6314,1489.8296,1490.0056,1490.1949,1490.4523,1490.5567,1490.5923
1250.0,1489.1819,1489.2442,1489.2169,1489.4318,1489.6291,1489.8409,1490.1193,1490.2418,1490.29
1350.0,1488.8451,1488.9028,1488.8859,1489.1209,1489.3431,1489.58,1489.881,1490.0216,1490.0828
1450.0,1488.6148,1488.6701,1488.6676,1488.9268,1489.1772,1489.4416,1489.7661,1489.9246,1489.9984
1550.0,1488.5229,1488.5783,1488.5946,1488.8821,1489.1632,1489.456,1489.8034,1489.9779,1490.0624
1650.0,1488.6085,1488.6672,1488.7048,1489.0219,1489.3333,1489.6526,1490.0201,1490.2059,1490.2965
1750.0,1488.9243,1488.9855,1489.0404,1489.3831,1489.7187,1490.0576,1490.4386,1490.6274,1490.7172
1850.0,1489.5198,1489.5823,1489.6449,1490.0002,1490.3468,1490.6911,1491.0698,1491.2491,1491.336
1950.0,1490.4172,1490.4791,1490.5417,1490.8962,1491.239,1491.5732,1491.9348,1492.0955,1492.175
2050.0,1491.6268,1491.688,1491.7423,1492.0829,1492.4077,1492.717,1493.0462,1493.1761,1493.2419
2150.0,1493.1473,1493.2098,1493.247,1493.5603,1493.8542,1494.1251,1494.404,1494.4864,1494.5333
2250.0,1494.9643,1495.0344,1495.0459,1495.3168,1495.567,1495.7858,1495.994,1496.0093,1496.0375
2350.0,1497.0464,1497.1325,1497.1226,1497.3382,1497.5207,1497.6592,1497.7761,1497.7269,1497.7418
2450.0,1499.3543,1499.4614,1499.4307,1499.5858,1499.6872,1499.7291,1499.7473,1499.633,1499.6252
2550.0,1501.8276,1501.9718,1501.923,1502.0124,1502.0289,1501.9661,1501.8746,1501.6961,1501.6633
2650.0,1504.3821,1504.5953,1504.5364,1504.5568,1504.4948,1504.3251,1504.1092,1503.8792,1503.8272
2750.0,1506.9167,1507.2001,1507.1786,1507.1574,1507.0118,1506.7291,1506.4129,1506.1588,1506.0868
2850.0,1509.4292,1509.7692,1509.7945,1509.7574,1509.5425,1509.1641,1508.769,1508.4816,1508.3878
2950.0,1511.8724,1512.2675,1512.3548,1512.32,1512.0464,1511.5831,1511.1212,1510.7988,1510.6814
3050.0,1514.1769,1514.6323,1514.8194,1514.8028,1514.4714,1513.9219,1513.4051,1513.0576,1512.9175
3150.0,1516.2615,1516.7696,1517.1219,1517.1376,1516.7457,1516.1056,1515.5574,1515.2073,1515.0455
3250.0,1518.0568,1518.5866,1519.0999,1519.1923,1518.7653,1518.0761,1517.5421,1517.1983,1517.013
3350.0,1519.5001,1520.0721,1520.7154,1520.8968,1520.4922,1519.8096,1519.2963,1518.9664,1518.7731
3450.0,1520.5582,1521.1304,1521.88,1522.1813,1521.8463,1521.2252,1520.7707,1520.4757,1520.2913
3550.0,1521.3465,1521.8897,1522.711,1523.1518,1522.8764,1522.3221,1521.96,1521.7162,1521.5554
3650.0,1521.9784,1522.4391,1523.2736,1523.8822,1523.6101,1523.112,1522.8851,1522.6961,1522.5727
3750.0,1522.5671,1522.9322,1523.6201,1524.2852,1524.0607,1523.6552,1523.5575,1523.4383,1523.3656
3850.0,1523.0683,1523.3488,1523.8765,1524.492,1524.3137,1523.9975,1524.0032,1523.9729,1523.952
3950.0,1523.4883,1523.7088,1524.0421,1524.5312,1524.4134,1524.1769,1524.2548,1524.3316,1524.3646
4050.0,1523.8189,1524.0296,1524.1007,1524.3739,1524.3865,1524.228,1524.3313,1524.5513,1524.6372
4150.0,1524.0045,1524.2285,1524.0699,1524.0619,1524.1999,1524.1696,1524.2935,1524.6476,1524.7897
4250.0,1524.0947,1524.2842,1523.952,1523.7368,1523.9066,1523.9925,1524.1887,1524.6419,1524.8423
4350.0,1524.1135,1524.2557,1523.7922,1523.3715,1523.535,1523.7535,1524.0332,1524.5618,1524.8258
4450.0,1524.062,1524.1585,1523.6338,1522.953,1523.105,1523.515,1523.8549,1524.4233,1524.7646
4550.0,1523.898,1523.9072,1523.4307,1522.6495,1522.7243,1523.2694,1523.7047,1524.2615,1524.6438
4650.0,1523.6885,1523.66,1523.2109,1522.4096,1522.4578,1523.0613,1523.5489,1524.1049,1524.499
4750.0,1523.4887,1523.4467,1523.0254,1522.2542,1522.3029,1522.9149,1523.4148,1523.9612,1524.3482
4850.0,1523.3311,1523.2769,1522.8965,1522.216,1522.2687,1522.8394,1523.3239,1523.8403,1524.1972
4950.0,1523.2396,1523.1479,1522.8159,1522.3371,1522.3724,1522.8238,1523.289,1523.7514,1524.0417
