y,x,val
0.0000,0.0000,1506.8865
0.0000,222.2222,1507.4338
0.0000,444.4444,1508.1267
0.0000,666.6667,1508.6710
0.0000,888.8889,1508.9010
0.0000,1111.1111,1509.0207
0.0000,1333.3333,1509.2994
0.0000,1555.5556,1509.5961
0.0000,1777.7778,1509.3151
0.0000,2000.0000,1509.3151
100.0000,0.0000,1506.2667
100.0000,222.2222,1506.9070
100.0000,444.4444,1507.6967
100.0000,666.6667,1508.2850
100.0000,888.8889,1508.4390
100.0000,1111.1111,1508.4635
100.0000,1333.3333,1508.7811
100.0000,1555.5556,1509.2333
100.0000,1777.7778,1508.7947
100.0000,2000.0000,1508.7947
200.0000,0.0000,1504.9202
200.0000,222.2222,1505.5854
200.0000,444.4444,1506.4141
200.0000,666.6667,1507.0065
200.0000,888.8889,1507.1018
200.0000,1111.1111,1507.0568
200.0000,1333.3333,1507.3667
200.0000,1555.5556,1507.8589
200.0000,1777.7778,1507.3856
200.0000,2000.0000,1507.3856
300.0000,0.0000,1502.8947
300.0000,222.2222,1503.5440
300.0000,444.4444,1504.3711
300.0000,666.6667,1504.9412
300.0000,888.8889,1504.9791
300.0000,1111.1111,1504.8645
300.0000,1333.3333,1505.1275
300.0000,1555.5556,1505.6030
300.0000,1777.7778,1505.1344
300.0000,2000.0000,1505.1344
400.0000,0.0000,1500.2952
400.0000,222.2222,1500.9057
400.0000,444.4444,1501.7083
400.0000,666.6667,1502.2395
400.0000,888.8889,1502.2131
400.0000,1111.1111,1502.0178
400.0000,1333.3333,1502.2033
400.0000,1555.5556,1502.6265
400.0000,1777.7778,1502.1694
400.0000,2000.0000,1502.1694
500.0000,0.0000,1497.2781
500.0000,222.2222,1497.8398
500.0000,444.4444,1498.6068
500.0000,666.6667,1499.0892
500.0000,888.8889,1498.9916
500.0000,1111.1111,1498.7055
500.0000,1333.3333,1498.7937
500.0000,1555.5556,1499.1401
500.0000,1777.7778,1498.6876
500.0000,2000.0000,1498.6876
600.0000,0.0000,1494.0508
600.0000,222.2222,1494.5554
600.0000,444.4444,1495.2769
600.0000,666.6667,1495.7033
600.0000,888.8889,1495.5318
600.0000,1111.1111,1495.1544
600.0000,1333.3333,1495.1443
600.0000,1555.5556,1495.4138
600.0000,1777.7778,1494.9692
600.0000,2000.0000,1494.9692
700.0000,0.0000,1490.8300
700.0000,222.2222,1491.2690
700.0000,444.4444,1491.9338
700.0000,666.6667,1492.2994
700.0000,888.8889,1492.0572
700.0000,1111.1111,1491.5989
700.0000,1333.3333,1491.5071
700.0000,1555.5556,1491.7214
700.0000,1777.7778,1491.2996
700.0000,2000.0000,1491.2996
800.0000,0.0000,1487.8023
800.0000,222.2222,1488.1730
800.0000,444.4444,1488.7751
800.0000,666.6667,1489.0798
800.0000,888.8889,1488.7757
800.0000,1111.1111,1488.2537
800.0000,1333.3333,1488.1038
800.0000,1555.5556,1488.2865
800.0000,1777.7778,1487.8959
800.0000,2000.0000,1487.8959
900.0000,0.0000,1485.1301
900.0000,222.2222,1485.4321
900.0000,444.4444,1485.9702
900.0000,666.6667,1486.2197
900.0000,888.8889,1485.8672
900.0000,1111.1111,1485.3019
900.0000,1333.3333,1485.1171
900.0000,1555.5556,1485.2880
900.0000,1777.7778,1484.9315
900.0000,2000.0000,1484.9315
1000.0000,0.0000,1482.9530
1000.0000,222.2222,1483.1818
1000.0000,444.4444,1483.6584
1000.0000,666.6667,1483.8631
1000.0000,888.8889,1483.4791
1000.0000,1111.1111,1482.8910
1000.0000,1333.3333,1482.6925
1000.0000,1555.5556,1482.8669
1000.0000,1777.7778,1482.5449
1000.0000,2000.0000,1482.5449
1100.0000,0.0000,1481.3892
1100.0000,222.2222,1481.5283
1100.0000,444.4444,1481.9495
1100.0000,666.6667,1482.1232
1100.0000,888.8889,1481.7255
1100.0000,1111.1111,1481.1349
1100.0000,1333.3333,1480.9409
1100.0000,1555.5556,1481.1304
1100.0000,1777.7778,1480.8436
1100.0000,2000.0000,1480.8436
1200.0000,0.0000,1480.5497
1200.0000,222.2222,1480.5607
1200.0000,444.4444,1480.9337
1200.0000,666.6667,1481.0846
1200.0000,888.8889,1480.6877
1200.0000,1111.1111,1480.1139
1200.0000,1333.3333,1479.9416
1200.0000,1555.5556,1480.1549
1200.0000,1777.7778,1479.9083
1200.0000,2000.0000,1479.9083
1300.0000,0.0000,1480.5362
1300.0000,222.2222,1480.4218
1300.0000,444.4444,1480.6900
1300.0000,666.6667,1480.7954
1300.0000,888.8889,1480.4068
1300.0000,1111.1111,1479.8730
1300.0000,1333.3333,1479.7456
1300.0000,1555.5556,1479.9900
1300.0000,1777.7778,1479.7955
1300.0000,2000.0000,1479.7955
1400.0000,0.0000,1481.2513
1400.0000,222.2222,1481.0222
1400.0000,444.4444,1481.1667
1400.0000,666.6667,1481.2240
1400.0000,888.8889,1480.8656
1400.0000,1111.1111,1480.4119
1400.0000,1333.3333,1480.3775
1400.0000,1555.5556,1480.6936
1400.0000,1777.7778,1480.5253
1400.0000,2000.0000,1480.5253
1500.0000,0.0000,1482.6436
1500.0000,222.2222,1482.2564
1500.0000,444.4444,1482.2593
1500.0000,666.6667,1482.2830
1500.0000,888.8889,1481.9905
1500.0000,1111.1111,1481.6634
1500.0000,1333.3333,1481.7681
1500.0000,1555.5556,1482.1739
1500.0000,1777.7778,1481.9652
1500.0000,2000.0000,1481.9652
1600.0000,0.0000,1484.6583
1600.0000,222.2222,1484.0494
1600.0000,444.4444,1483.8589
1600.0000,666.6667,1483.8657
1600.0000,888.8889,1483.6724
1600.0000,1111.1111,1483.5078
1600.0000,1333.3333,1483.7872
1600.0000,1555.5556,1484.3038
1600.0000,1777.7778,1483.9414
1600.0000,2000.0000,1483.9414
1700.0000,0.0000,1487.2319
1700.0000,222.2222,1486.3159
1700.0000,444.4444,1485.8777
1700.0000,666.6667,1485.8839
1700.0000,888.8889,1485.7945
1700.0000,1111.1111,1485.7873
1700.0000,1333.3333,1486.2326
1700.0000,1555.5556,1486.8974
1700.0000,1777.7778,1486.1774
1700.0000,2000.0000,1486.1774
1800.0000,0.0000,1490.4007
1800.0000,222.2222,1489.2624
1800.0000,444.4444,1488.4533
1800.0000,666.6667,1488.3168
1800.0000,888.8889,1488.2530
1800.0000,1111.1111,1488.3374
1800.0000,1333.3333,1488.8327
1800.0000,1555.5556,1489.3973
1800.0000,1777.7778,1488.2921
1800.0000,2000.0000,1488.2921
1900.0000,0.0000,1493.7053
1900.0000,222.2222,1492.3938
1900.0000,444.4444,1491.2642
1900.0000,666.6667,1490.9662
1900.0000,888.8889,1490.9086
1900.0000,1111.1111,1491.0611
1900.0000,1333.3333,1491.5504
1900.0000,1555.5556,1491.9295
1900.0000,1777.7778,1490.5591
1900.0000,2000.0000,1490.5591
2000.0000,0.0000,1496.9447
2000.0000,222.2222,1495.4773
2000.0000,444.4444,1494.0511
2000.0000,666.6667,1493.6257
2000.0000,888.8889,1493.6253
2000.0000,1111.1111,1493.8950
2000.0000,1333.3333,1494.4000
2000.0000,1555.5556,1494.5554
2000.0000,1777.7778,1492.9624
2000.0000,2000.0000,1492.9624
2100.0000,0.0000,1500.0523
2100.0000,222.2222,1498.5486
2100.0000,444.4444,1496.7546
2100.0000,666.6667,1496.1618
2100.0000,888.8889,1496.2955
2100.0000,1111.1111,1496.7676
2100.0000,1333.3333,1497.3068
2100.0000,1555.5556,1497.0755
2100.0000,1777.7778,1495.3745
2100.0000,2000.0000,1495.3745
2200.0000,0.0000,1502.7290
2200.0000,222.2222,1501.3996
2200.0000,444.4444,1499.2040
2200.0000,666.6667,1498.4540
2200.0000,888.8889,1498.8580
2200.0000,1111.1111,1499.6566
2200.0000,1333.3333,1500.3681
2200.0000,1555.5556,1499.5292
2200.0000,1777.7778,1497.9468
2200.0000,2000.0000,1497.9468
2300.0000,0.0000,1504.6865
2300.0000,222.2222,1503.7335
2300.0000,444.4444,1501.5442
2300.0000,666.6667,1500.7135
2300.0000,888.8889,1501.3444
2300.0000,1111.1111,1502.4439
2300.0000,1333.3333,1503.2388
2300.0000,1555.5556,1502.0679
2300.0000,1777.7778,1500.8568
2300.0000,2000.0000,1500.8568
2400.0000,0.0000,1506.0582
2400.0000,222.2222,1505.3605
2400.0000,444.4444,1503.4390
2400.0000,666.6667,1502.7419
2400.0000,888.8889,1503.6592
2400.0000,1111.1111,1505.0948
2400.0000,1333.3333,1506.0176
2400.0000,1555.5556,1504.8940
2400.0000,1777.7778,1503.8704
2400.0000,2000.0000,1503.8704
2500.0000,0.0000,1507.1098
2500.0000,222.2222,1506.5708
2500.0000,444.4444,1505.1469
2500.0000,666.6667,1504.6219
2500.0000,888.8889,1505.7179
2500.0000,1111.1111,1507.4227
2500.0000,1333.3333,1508.3846
2500.0000,1555.5556,1507.5898
2500.0000,1777.7778,1506.6478
2500.0000,2000.0000,1506.6478
2600.0000,0.0000,1508.0756
2600.0000,222.2222,1507.4025
2600.0000,444.4444,1506.7689
2600.0000,666.6667,1506.3734
2600.0000,888.8889,1507.4724
2600.0000,1111.1111,1509.4293
2600.0000,1333.3333,1510.1915
2600.0000,1555.5556,1510.0615
2600.0000,1777.7778,1508.9057
2600.0000,2000.0000,1508.9057
2700.0000,0.0000,1509.2479
2700.0000,222.2222,1508.3294
2700.0000,444.4444,1508.3272
2700.0000,666.6667,1508.1996
2700.0000,888.8889,1509.0788
