y,x,val
0.0000,0.0000,1523.9956
0.0000,222.2222,1524.1217
0.0000,444.4444,1524.2071
0.0000,666.6667,1524.2552
0.0000,888.8889,1524.2706
0.0000,1111.1111,1524.2552
0.0000,1333.3333,1524.2071
0.0000,1555.5556,1524.1217
0.0000,1777.7778,1523.9956
0.0000,2000.0000,1523.9956
51.7241,0.0000,1523.7420
51.7241,222.2222,1523.8730
51.7241,444.4444,1523.9525
51.7241,666.6667,1523.9947
51.7241,888.8889,1524.0077
51.7241,1111.1111,1523.9947
51.7241,1333.3333,1523.9525
51.7241,1555.5556,1523.8730
51.7241,1777.7778,1523.7420
51.7241,2000.0000,1523.7420
103.4483,0.0000,1523.0892
103.4483,222.2222,1523.2071
103.4483,444.4444,1523.2742
103.4483,666.6667,1523.3071
103.4483,888.8889,1523.3168
103.4483,1111.1111,1523.3071
103.4483,1333.3333,1523.2742
103.4483,1555.5556,1523.2071
103.4483,1777.7778,1523.0892
103.4483,2000.0000,1523.0892
155.1724,0.0000,1522.0767
155.1724,222.2222,1522.1756
155.1724,444.4444,1522.2273
155.1724,666.6667,1522.2498
155.1724,888.8889,1522.2558
155.1724,1111.1111,1522.2498
155.1724,1333.3333,1522.2273
155.1724,1555.5556,1522.1756
155.1724,1777.7778,1522.0767
155.1724,2000.0000,1522.0767
206.8966,0.0000,1520.7544
206.8966,222.2222,1520.8322
206.8966,444.4444,1520.8674
206.8966,666.6667,1520.8793
206.8966,888.8889,1520.8817
206.8966,1111.1111,1520.8793
206.8966,1333.3333,1520.8674
206.8966,1555.5556,1520.8322
206.8966,1777.7778,1520.7544
206.8966,2000.0000,1520.7544
258.6207,0.0000,1519.1773
258.6207,222.2222,1519.2334
258.6207,444.4444,1519.2523
258.6207,666.6667,1519.2540
258.6207,888.8889,1519.2528
258.6207,1111.1111,1519.2540
258.6207,1333.3333,1519.2523
258.6207,1555.5556,1519.2334
258.6207,1777.7778,1519.1773
258.6207,2000.0000,1519.1773
310.3448,0.0000,1517.4021
310.3448,222.2222,1517.4391
