y,x,val
0.0000,0.0000,1146.9881
0.0000,222.2222,1132.2181
0.0000,444.4444,1122.0119
0.0000,666.6667,1116.2732
0.0000,888.8889,1107.3421
0.0000,1111.1111,1094.4933
0.0000,1333.3333,1090.5742
0.0000,1555.5556,1095.2986
0.0000,1777.7778,1131.8928
0.0000,2000.0000,1131.8928
51.7241,0.0000,1170.7945
51.7241,222.2222,1144.0897
51.7241,444.4444,1133.2764
51.7241,666.6667,1137.8490
51.7241,888.8889,1149.5725
51.7241,1111.1111,1161.2077
51.7241,1333.3333,1186.7780
51.7241,1555.5556,1205.0872
51.7241,1777.7778,1225.8332
51.7241,2000.0000,1225.8332
103.4483,0.0000,1259.1871
103.4483,222.2222,1223.5731
103.4483,444.4444,1192.7457
103.4483,666.6667,1193.5041
103.4483,888.8889,1210.7652
103.4483,1111.1111,1244.2735
103.4483,1333.3333,1302.9277
103.4483,1555.5556,1351.2605
103.4483,1777.7778,1368.3371
103.4483,2000.0000,1368.3371
155.1724,0.0000,1372.1465
155.1724,222.2222,1345.6693
155.1724,444.4444,1287.1994
155.1724,666.6667,1258.5792
155.1724,888.8889,1268.2813
155.1724,1111.1111,1311.3554
155.1724,1333.3333,1386.1054
155.1724,1555.5556,1455.2802
155.1724,1777.7778,1480.4741
155.1724,2000.0000,1480.4741
206.8966,0.0000,1436.3909
206.8966,222.2222,1417.5761
206.8966,444.4444,1356.2194
206.8966,666.6667,1310.6958
206.8966,888.8889,1304.9283
206.8966,1111.1111,1345.0985
206.8966,1333.3333,1417.3933
206.8966,1555.5556,1482.5882
206.8966,1777.7778,1514.7765
206.8966,2000.0000,1514.7765
258.6207,0.0000,1413.4437
258.6207,222.2222,1386.7623
258.6207,444.4444,1334.1386
258.6207,666.6667,1291.4171
258.6207,888.8889,1278.6189
258.6207,1111.1111,1320.5955
258.6207,1333.3333,1391.1888
258.6207,1555.5556,1444.5242
258.6207,1777.7778,1482.6341
258.6207,2000.0000,1482.6341
310.3448,0.0000,1359.2409
310.3448,222.2222,1326.2336
310.3448,444.4444,1281.0812
310.3448,666.6667,1239.6818
310.3448,888.8889,1214.8136
310.3448,1111.1111,1249.4998
310.3448,1333.3333,1324.0476
310.3448,1555.5556,1379.5430
310.3448,1777.7778,1426.2178
310.3448,2000.0000,1426.2178
362.0690,0.0000,1347.7476
362.0690,222.2222,1324.9454
362.0690,444.4444,1290.1217
362.0690,666.6667,1250.0421
362.0690,888.8889,1222.7490
362.0690,1111.1111,1235.6021
362.0690,1333.3333,1292.0892
362.0690,1555.5556,1353.4845
362.0690,1777.7778,1400.4298
362.0690,2000.0000,1400.4298
413.7931,0.0000,1385.4508
413.7931,222.2222,1378.8074
413.7931,444.4444,1364.5221
413.7931,666.6667,1342.0876
413.7931,888.8889,1325.7274
413.7931,1111.1111,1333.0979
413.7931,1333.3333,1372.7426
413.7931,1555.5556,1428.8771
413.7931,1777.7778,1459.2124
413.7931,2000.0000,1459.2124
465.5172,0.0000,1454.6675
465.5172,222.2222,1463.7751
465.5172,444.4444,1475.3306
465.5172,666.6667,1484.2490
465.5172,888.8889,1496.7162
