y,0,1,2,3,4,5,6,7,8
25.862068965517242,0.751,1.3892,2.194,0.9067,1.9014,2.8992,1.5019,2.2967,2.9173
77.58620689655173,0.3397,1.0307,1.8749,0.5427,1.6118,2.6863,1.2038,2.06,2.7503
129.31034482758622,0.0442,0.8209,1.7688,0.2922,1.466,2.6151,0.9951,1.9306,2.6873
181.0344827586207,-0.0995,0.7191,1.686,0.1279,1.3308,2.4981,0.7513,1.7174,2.4894
232.75862068965517,-0.0306,0.8192,1.8154,0.0974,1.3238,2.5105,0.5633,1.5574,2.3581
284.48275862068965,-0.1477,0.7956,1.863,-0.0541,1.2472,2.4931,0.3309,1.402,2.2735
336.2068965517241,-0.1081,0.7763,1.7919,-0.1158,1.1069,2.2896,0.1107,1.1231,1.9595
387.9310344827586,-0.499,0.4148,1.4541,-0.5792,0.6338,1.8204,-0.4762,0.5241,1.3742
439.65517241379314,-1.1018,-0.1038,0.9693,-1.2437,-0.0123,1.1945,-1.2701,-0.2523,0.6232
491.3793103448276,-2.0264,-0.9696,0.1419,-2.2253,-0.9596,0.2616,-2.3464,-1.2947,-0.3932
543.1034482758621,-3.3407,-2.2777,-1.1493,-3.5939,-2.3109,-1.0717,-3.7384,-2.6792,-1.7487
594.8275862068965,-2.554,-1.5448,-0.4716,-2.9651,-1.6927,-0.4676,-3.2453,-2.155,-1.2172
646.551724137931,-2.0925,-1.2309,-0.2167,-2.5577,-1.4328,-0.2648,-2.8128,-1.8819,-1.0149
698.2758620689656,-2.2937,-1.3517,-0.2286,-2.8635,-1.6708,-0.3948,-3.1361,-2.1622,-1.208
750.0,-2.6301,-1.6203,-0.4305,-3.3878,-2.1099,-0.7361,-3.7546,-2.6901,-1.6245
801.7241379310345,-2.7335,-1.6296,-0.3444,-3.6698,-2.2708,-0.7688,-4.1216,-2.9188,-1.7052
853.448275862069,-2.5728,-1.364,0.0212,-3.6863,-2.1561,-0.5218,-4.215,-2.8654,-1.5003
905.1724137931035,-2.0821,-0.8638,0.5394,-3.346,-1.7766,-0.0931,-3.9267,-2.509,-1.0635
956.8965517241379,-1.521,-0.3716,0.954,-2.7998,-1.2667,0.3696,-3.3497,-1.9332,-0.4927
1008.6206896551724,2.3029,3.1575,4.2004,1.3276,2.5832,3.9283,1.0413,2.2158,3.4011
1060.344827586207,4.2931,4.8303,5.5534,3.8169,4.7403,5.729,3.9455,4.8115,5.6614
1112.0689655172414,4.2299,4.5411,5.028,4.039,4.7033,5.4114,4.3888,5.0028,5.5853
1163.7931034482758,3.1206,3.3287,3.7037,3.0865,3.6061,4.1587,3.5408,4.0041,4.4361
1215.5172413793105,1.7554,1.9223,2.2477,1.8262,2.2753,2.7496,2.3312,2.724,3.0885
1267.2413793103449,0.2883,0.4175,0.6927,0.4216,0.8094,1.2113,0.9391,1.2712,1.5715
1318.9655172413793,-1.2497,-1.1633,-0.943,-1.1002,-0.7731,-0.4409,-0.5991,-0.3225,-0.0813
1370.6896551724137,-2.8776,-2.8153,-2.6311,-2.7061,-2.4206,-2.1375,-2.2128,-1.9752,-1.7768
1422.4137931034484,-4.5573,-4.5146,-4.3637,-4.3856,-4.132,-3.8861,-3.9132,-3.6997,-3.5295
1474.1379310344828,-6.2651,-6.2204,-6.0911,-6.1015,-5.8635,-5.6371,-5.6504,-5.4458,-5.2917
