y,x,val
0.0000,0.0000,0.7818
0.0000,222.2222,0.7522
0.0000,444.4444,0.3337
0.0000,666.6667,-1.9003
0.0000,888.8889,-1.4904
0.0000,1111.1111,-0.5066
0.0000,1333.3333,-1.4765
0.0000,1555.5556,-0.3408
0.0000,1777.7778,0.4700
0.0000,2000.0000,0.4700
51.7241,0.0000,0.3284
51.7241,222.2222,0.0402
51.7241,444.4444,-0.2124
51.7241,666.6667,-2.1149
51.7241,888.8889,-1.6867
51.7241,1111.1111,-0.7636
51.7241,1333.3333,-1.6233
51.7241,1555.5556,-0.4245
51.7241,1777.7778,0.4369
51.7241,2000.0000,0.4369
103.4483,0.0000,-0.2337
103.4483,222.2222,-0.4600
103.4483,444.4444,-0.2306
103.4483,666.6667,-1.9630
103.4483,888.8889,-1.4348
103.4483,1111.1111,-0.5217
103.4483,1333.3333,-1.4604
103.4483,1555.5556,-0.2482
103.4483,1777.7778,0.6326
103.4483,2000.0000,0.6326
155.1724,0.0000,-0.6254
155.1724,222.2222,-0.7265
155.1724,444.4444,-0.1761
155.1724,666.6667,-1.7334
155.1724,888.8889,-1.1043
155.1724,1111.1111,-0.1888
155.1724,1333.3333,-1.2556
155.1724,1555.5556,-0.0671
155.1724,1777.7778,0.7824
155.1724,2000.0000,0.7824
206.8966,0.0000,-0.7409
206.8966,222.2222,-0.7205
206.8966,444.4444,0.0718
206.8966,666.6667,-1.4472
206.8966,888.8889,-0.6944
206.8966,1111.1111,0.2672
206.8966,1333.3333,-1.0025
206.8966,1555.5556,0.1809
206.8966,1777.7778,1.0257
206.8966,2000.0000,1.0257
258.6207,0.0000,-0.9955
258.6207,222.2222,-0.8128
258.6207,444.4444,0.1961
258.6207,666.6667,-1.3736
258.6207,888.8889,-0.4474
258.6207,1111.1111,0.6190
258.6207,1333.3333,-0.8554
258.6207,1555.5556,0.3913
258.6207,1777.7778,1.2882
258.6207,2000.0000,1.2882
310.3448,0.0000,-1.0667
310.3448,222.2222,-0.8983
310.3448,444.4444,0.1565
310.3448,666.6667,-1.2954
310.3448,888.8889,-0.3630
310.3448,1111.1111,0.6896
