y,x,val
0.0000,0.0000,1520.5432
0.0000,222.2222,1520.5703
0.0000,444.4444,1520.7500
0.0000,666.6667,1520.9843
0.0000,888.8889,1521.1679
0.0000,1111.1111,1521.2692
0.0000,1333.3333,1521.2910
0.0000,1555.5556,1521.2249
0.0000,1777.7778,1521.1906
0.0000,2000.0000,1521.1906
51.7241,0.0000,1521.1262
51.7241,222.2222,1521.0979
51.7241,444.4444,1521.2878
51.7241,666.6667,1521.5398
51.7241,888.8889,1521.7529
51.7241,1111.1111,1521.8796
51.7241,1333.3333,1521.9263
51.7241,1555.5556,1521.8745
51.7241,1777.7778,1521.9047
51.7241,2000.0000,1521.9047
103.4483,0.0000,1521.1493
103.4483,222.2222,1521.2234
103.4483,444.4444,1521.4404
103.4483,666.6667,1521.6880
103.4483,888.8889,1521.8831
103.4483,1111.1111,1521.9894
103.4483,1333.3333,1522.0230
103.4483,1555.5556,1521.9610
103.4483,1777.7778,1521.9209
103.4483,2000.0000,1521.9209
155.1724,0.0000,1521.0319
155.1724,222.2222,1521.2282
155.1724,444.4444,1521.4747
155.1724,666.6667,1521.7134
155.1724,888.8889,1521.8866
155.1724,1111.1111,1521.9679
155.1724,1333.3333,1521.9857
155.1724,1555.5556,1521.9079
155.1724,1777.7778,1521.7771
155.1724,2000.0000,1521.7771
206.8966,0.0000,1520.0707
206.8966,222.2222,1520.3049
206.8966,444.4444,1520.5638
206.8966,666.6667,1520.8027
206.8966,888.8889,1520.9791
206.8966,1111.1111,1521.0726
206.8966,1333.3333,1521.1160
206.8966,1555.5556,1521.0745
206.8966,1777.7778,1520.9451
206.8966,2000.0000,1520.9451
258.6207,0.0000,1519.1363
258.6207,222.2222,1519.3497
258.6207,444.4444,1519.6072
258.6207,666.6667,1519.8456
258.6207,888.8889,1520.0314
258.6207,1111.1111,1520.1373
258.6207,1333.3333,1520.2004
258.6207,1555.5556,1520.1943
258.6207,1777.7778,1520.1192
258.6207,2000.0000,1520.1192
310.3448,0.0000,1518.1941
310.3448,222.2222,1518.3213
310.3448,444.4444,1518.5768
310.3448,666.6667,1518.8256
310.3448,888.8889,1519.0342
310.3448,1111.1111,1519.1602
310.3448,1333.3333,1519.2371
310.3448,1555.5556,1519.2486
310.3448,1777.7778,1519.2699
310.3448,2000.0000,1519.2699
362.0690,0.0000,1517.6836
362.0690,222.2222,1517.8293
362.0690,444.4444,1518.1009
362.0690,666.6667,1518.3642
362.0690,888.8889,1518.5779
362.0690,1111.1111,1518.7039
362.0690,1333.3333,1518.7582
362.0690,1555.5556,1518.7352
362.0690,1777.7778,1518.7170
362.0690,2000.0000,1518.7170
413.7931,0.0000,1517.2133
413.7931,222.2222,1517.3973
413.7931,444.4444,1517.6749
413.7931,666.6667,1517.9456
413.7931,888.8889,1518.1733
413.7931,1111.1111,1518.3204
413.7931,1333.3333,1518.3880
413.7931,1555.5556,1518.3586
413.7931,1777.7778,1518.2839
413.7931,2000.0000,1518.2839
