y,x,val
0.0000,0.0000,1533.0080
0.0000,222.2222,1542.2477
0.0000,444.4444,1545.6322
0.0000,666.6667,1532.9547
0.0000,888.8889,1542.0351
0.0000,1111.1111,1530.5531
0.0000,1333.3333,1545.1376
0.0000,1555.5556,1543.6329
0.0000,1777.7778,1544.2741
0.0000,2000.0000,1544.2741
51.7241,0.0000,1528.6146
51.7241,222.2222,1537.1573
51.7241,444.4444,1540.2345
51.7241,666.6667,1528.2901
51.7241,888.8889,1537.1068
51.7241,1111.1111,1526.1401
51.7241,1333.3333,1540.0148
51.7241,1555.5556,1538.6821
51.7241,1777.7778,1538.5606
51.7241,2000.0000,1538.5606
103.4483,0.0000,1524.6037
103.4483,222.2222,1532.5105
103.4483,444.4444,1535.3076
103.4483,666.6667,1524.0318
103.4483,888.8889,1532.6079
103.4483,1111.1111,1522.1112
103.4483,1333.3333,1535.3384
103.4483,1555.5556,1534.1626
103.4483,1777.7778,1533.3459
103.4483,2000.0000,1533.3459
155.1724,0.0000,1520.9463
155.1724,222.2222,1528.2737
155.1724,444.4444,1530.8158
155.1724,666.6667,1520.1489
155.1724,888.8889,1528.5055
155.1724,1111.1111,1518.4372
155.1724,1333.3333,1531.0746
155.1724,1555.5556,1530.0416
155.1724,1777.7778,1528.5920
155.1724,2000.0000,1528.5920
206.8966,0.0000,1517.6154
206.8966,222.2222,1524.4156
206.8966,444.4444,1526.7258
206.8966,666.6667,1516.6129
206.8966,888.8889,1524.7697
206.8966,1111.1111,1515.0913
206.8966,1333.3333,1527.1918
206.8966,1555.5556,1526.2888
206.8966,1777.7778,1524.2637
206.8966,2000.0000,1524.2637
258.6207,0.0000,1514.5864
258.6207,222.2222,1520.9074
258.6207,444.4444,1523.0070
258.6207,666.6667,1513.3973
258.6207,888.8889,1521.3726
258.6207,1111.1111,1512.0484
258.6207,1333.3333,1523.6611
258.6207,1555.5556,1522.8762
258.6207,1777.7778,1520.3286
258.6207,2000.0000,1520.3286
310.3448,0.0000,1511.8362
310.3448,222.2222,1517.7225
310.3448,444.4444,1519.6312
310.3448,666.6667,1510.4779
310.3448,888.8889,1518.2883
310.3448,1111.1111,1509.2857
310.3448,1333.3333,1520.4558
310.3448,1555.5556,1519.7779
310.3448,1777.7778,1516.7566
310.3448,2000.0000,1516.7566
362.0690,0.0000,1509.3437
362.0690,222.2222,1514.8363
362.0690,444.4444,1516.5722
362.0690,666.6667,1507.8321
362.0690,888.8889,1515.4932
362.0690,1111.1111,1506.7817
362.0690,1333.3333,1517.5511
362.0690,1555.5556,1516.9701
362.0690,1777.7778,1513.5201
362.0690,2000.0000,1513.5201
413.7931,0.0000,1507.0893
413.7931,222.2222,1512.2260
413.7931,444.4444,1513.8060
413.7931,666.6667,1505.4391
413.7931,888.8889,1512.9651
413.7931,1111.1111,1504.5169
413.7931,1333.3333,1514.9241
413.7931,1555.5556,1514.4306
413.7931,1777.7778,1510.5935
413.7931,2000.0000,1510.5935
465.5172,0.0000,1505.0549
465.5172,222.2222,1509.8707
465.5172,444.4444,1511.3101
465.5172,666.6667,1503.2797
465.5172,888.8889,1510.6840
465.5172,1111.1111,1502.4732
465.5172,1333.3333,1512.5536
465.5172,1555.5556,1512.1391
465.5172,1777.7778,1507.9531
465.5172,2000.0000,1507.9531
517.2414,0.0000,1503.2239
517.2414,222.2222,1507.7510
517.2414,444.4444,1509.0640
517.2414,666.6667,1501.3362
517.2414,888.8889,1508.6308
517.2414,1111.1111,1500.6336
517.2414,1333.3333,1510.4203
517.2414,1555.5556,1510.0767
517.2414,1777.7778,1505.5772
517.2414,2000.0000,1505.5772
568.9655,0.0000,1501.5807
568.9655,222.2222,1505.8490
568.9655,444.4444,1507.0487
568.9655,666.6667,1499.5922
568.9655,888.8889,1506.7884
568.9655,1111.1111,1498.9827
568.9655,1333.3333,1508.5059
