y,0,1,2,3,4,5,6,7,8
25.862068965517242,12.4924,22.2311,26.1138,11.707,21.3039,10.3571,23.1273,22.1405,23.3249
77.58620689655173,7.8122,16.9053,20.4941,6.7453,16.1316,5.7569,17.7147,16.9543,17.4566
129.31034482758622,3.7072,12.2355,15.6281,2.3926,11.6286,1.7872,12.9645,12.447,12.3268
181.0344827586207,0.195,8.1726,11.3171,-1.3952,7.6477,-1.7452,8.7268,8.3955,7.6667
232.75862068965517,-2.6685,4.8022,7.7389,-4.577,4.297,-4.6743,5.0774,4.9208,3.6575
284.48275862068965,-5.2793,1.7964,4.5939,-7.4084,1.3751,-7.1621,1.9092,1.9678,0.2675
336.2068965517241,-7.2851,-0.7121,1.8474,-9.673,-1.1093,-9.3611,-0.722,-0.592,-2.7846
387.9310344827586,-9.256,-3.0568,-0.6379,-11.8491,-3.4153,-11.3403,-3.1897,-2.9503,-5.5412
439.65517241379314,-10.947,-5.0299,-2.7216,-13.714,-5.3657,-12.975,-5.3254,-4.9578,-7.8955
491.3793103448276,-12.4318,-6.7852,-4.565,-15.351,-7.064,-14.3959,-7.1941,-6.6973,-9.9484
543.1034482758621,-13.7352,-8.3564,-6.2344,-16.7847,-8.5818,-15.6759,-8.8222,-8.2454,-11.7828
594.8275862068965,-12.4213,-7.3365,-5.3711,-15.6933,-7.5989,-14.5188,-8.0453,-7.3819,-11.2031
646.551724137931,-10.981,-6.2546,-4.437,-14.3597,-6.5029,-13.3162,-6.8596,-6.3128,-10.4723
698.2758620689656,-9.8219,-5.1985,-3.348,-13.3434,-5.4996,-12.0613,-6.0215,-5.399,-9.7158
750.0,-8.4919,-3.958,-2.1041,-12.2233,-4.3649,-10.7025,-5.1408,-4.4033,-8.8314
801.7241379310345,-6.7038,-2.2082,-0.3097,-10.6188,-2.6995,-8.7975,-3.7491,-2.8558,-7.338
853.448275862069,-4.5135,-0.0222,1.9374,-8.5932,-0.5929,-6.46,-1.9098,-0.8578,-5.3709
905.1724137931035,-1.9485,2.4646,4.4143,-6.15,1.8496,-3.8803,0.3928,1.5214,-3.0747
956.8965517241379,0.633,4.9078,6.7605,-3.5437,4.3901,-1.3062,2.9674,4.1032,-0.641
1008.6206896551724,6.3224,10.2433,11.7965,2.4856,10.1233,4.2139,9.2331,10.1428,5.0256
1060.344827586207,9.9295,13.4567,14.666,6.586,13.8849,7.7013,13.774,14.4135,8.8853
1112.0689655172414,11.2473,14.4804,15.4312,8.1784,15.2189,8.8311,15.6341,16.0637,10.2146
1163.7931034482758,11.3037,14.3787,15.2006,8.3861,15.2867,8.8098,15.9982,16.3151,10.2767
1215.5172413793105,10.9078,13.8998,14.661,8.0963,14.9338,8.4334,15.8096,16.0877,9.9541
1267.2413793103449,10.2283,13.1531,13.8584,7.4865,14.2715,7.7418,15.2587,15.5014,9.2853
1318.9655172413793,9.3068,12.1702,12.8196,6.5932,13.3278,6.7605,14.3914,14.5977,8.3123
1370.6896551724137,8.1312,10.9615,11.5781,5.4558,12.1603,5.5659,13.2851,13.466,7.1352
1422.4137931034484,6.7437,9.5526,10.1436,4.0879,10.7733,4.154,11.9323,12.0978,5.7434
1474.1379310344828,5.1716,7.9812,8.5635,2.5269,9.2106,2.5746,10.3829,10.5442,4.1869
